rep,id,phiS,deltaS,phiL,deltaL,deltaA,GROUP
2,7,1.02986209168684,0.105333212403467,0.52129527965819,0.000186546665355256,0.865956254903335,0
3,7,1.01967490811373,0.107027325521276,0.485374156468541,1.82215774809156e-6,0.785028319441074,0
1,8,0.860933153865077,0.0794244100431571,0.53210860967719,0.000281986491215478,0.928215415173843,0
2,8,1.02024083854837,0.118262468353216,0.554844737009392,0.000125569333843559,0.900710756179988,0
3,8,0.994812377086794,0.078604154285278,0.58984578908532,0.000130922028620004,1.07406374464686,0
1,9,1.50379821773534,0.0667490528540905,0.522015649104678,1.3002761319613e-5,0.656101746487554,0
2,9,1.3191000527725,0.0728619274544056,0.518462159487184,0.000238003351034371,0.623553885972739,0
3,9,1.09387538497744,0.115801470631125,0.56627213059458,0.000112117379278594,0.52739829300022,0
1,10,1.11735766088705,0.03372259942192,0.525641809394847,6.41198450444562e-5,1.11919384325804,0
2,10,0.616672540205002,0.0436338948179769,0.53296936607065,6.57437483558421e-5,0.856083469065883,0
3,10,0.902195379214598,0.0318242448656064,0.518242583797465,0.000272818129253027,1.07214186276856,0
1,11,1.12423810997357,0.303141252031707,0.539155828963861,0.00028930457330307,0.839238599332354,0
2,11,0.963664432140628,0.196856018554857,0.508862054911942,2.68711024729709e-5,0.836573094400813,0
3,11,0.930061667712634,0.135392801867848,0.550177941506267,9.23106193550234e-5,0.935809038681448,0
1,12,1.15492809076693,0.0382732197148967,0.561155790440638,1.01699759027033e-5,0.646984820739392,0
2,12,1.06341449916719,0.0472008728061644,0.635607446311959,0.00319980720534457,0.64326226484758,0
3,12,0.929560660731852,0.0429357866753027,0.54974156917114,7.26450351907249e-5,0.634115228944336,0
1,13,1.22171071914422,0.0536337308482934,0.530800453967789,1.76391455363453e-6,0.899687718116085,0
2,13,1.2786765087571,0.0699549010639149,0.536856633378795,0.000531311398926008,0.823528751776338,0
3,13,1.32427537045263,0.0558837864667426,0.544530517586001,0.00038839138364981,0.919155255924561,0
1,14,1.1058280134224,0.0949270245963223,0.564332350438706,2.04253211618512e-5,0.904513577635253,0
2,14,0.772277367220511,0.0589657528277464,0.488482368756593,0.000318788606224855,0.856418927576615,0
3,14,1.28368038893627,0.102567012347389,0.617795861289642,5.18105764731911e-5,0.962678598105778,0
1,15,0.966187204630593,0.0688080264266952,0.554719472822604,7.18761809037721e-5,1.16539262421887,0
2,15,1.39535648729692,0.0718539391298887,0.532731614594368,3.73769800608794e-5,1.26609694203379,0
3,15,1.09092344942932,0.0851730994995901,0.548586019337078,0.000161791143704336,1.07960606723414,0
1,16,1.01620923098389,0.0540452263638367,0.541906759892789,0.000195653016228067,0.760930107036696,0
2,16,1.08536652820717,0.0993355380656739,0.580332158396359,5.40918716892436e-5,0.715671455905383,0
3,16,1.00132016060009,0.0835570046489228,0.567926568765092,1.4899730199344e-5,0.683721401484871,0
1,17,1.28931017897728,0.0443803467751664,0.624082290135663,0.00133494101339789,0.985123834250642,0
2,17,1.17590938109696,0.0669765439783099,0.561438230694849,0.000469625182549754,0.816414620264035,0
3,17,1.18403431860145,0.0626629621865958,0.570836308751083,0.000103600996026173,0.843042510652153,0
1,18,1.28327068836351,0.0647841735474584,0.561430444432224,3.21832102952347e-5,0.7451195825141,0
2,18,1.33747699939037,0.0658663375931142,0.508029031359225,3.72581522307602e-5,0.717489988053748,0
3,18,1.1156359877316,0.0778724524448009,0.53485266403484,3.81000567441502e-5,0.643148587654625,0
1,19,1.16764625072494,0.0704327317788384,0.546153853168002,0.000209492742022962,0.72820659952045,0
2,19,1.23836050911814,0.10534617684954,0.597200799830385,5.90818847075383e-6,0.672152705201352,0
3,19,1.17597350543984,0.0556735045833148,0.60355097731146,7.57764318166894e-5,0.821730193951804,0
1,20,1.37355498571648,0.0788875407305523,0.546582802033172,1.82472031006986e-5,0.960839087677053,0
2,20,1.13282278579638,0.0662179737962435,0.598826008256654,0.000239137104861285,0.983061580879849,0
3,20,1.45514749609222,0.0778188783036849,0.605512202674442,9.44352963462226e-5,1.03237683380808,0
1,21,1.36618062076563,0.0366363482664856,0.573872048353216,3.23330146574681e-6,0.708164995706551,0
2,21,1.15386347277115,0.050806995185776,0.587706126935726,2.44441092341199e-5,0.571116466757319,0
3,21,0.909092826895189,0.0368439498307876,0.547007098141511,1.90360243920149e-5,0.549971404899489,0
1,22,0.969934000677822,0.0727820050462803,0.522818505129702,1.17984751483312e-5,0.987472364329384,0
2,22,1.01976868078788,0.104393754095914,0.552281234657756,2.2997876094228e-5,0.929845017171832,0
3,22,0.891554959278583,0.0909219079173929,0.612582236462061,8.71952802690645e-7,1.02490051849889,0
1,23,0.722072813709381,0.212665273725527,0.562992797713024,2.41968382564637e-5,0.660156859992564,0
2,23,1.05145134896181,0.154903823191576,0.554845614635376,7.36513636502626e-5,0.679345000394371,0
3,23,1.00472301791231,0.138773186057006,0.576880497943738,0.000128143968159955,0.717665283711178,0
1,24,0.866202334050616,0.0783708074691474,0.558668125985352,3.47944097599661e-5,0.879112682565115,0
2,24,0.927477470857079,0.102511100590368,0.529849893407448,5.11522087897935e-5,0.892763370240606,0
3,24,0.77290565029903,0.0990275165169548,0.579911872387002,6.155518105437e-7,0.883707123573626,0
1,25,1.04395995501773,0.0871674545174949,0.611439057649953,0.000126586490131564,0.794672486268388,0
2,25,1.00767875049968,0.0732861252299259,0.533410748199891,0.000597428382303063,0.759555183094715,0
3,25,0.994833474537763,0.0634261727633055,0.508380811720324,0.000727200099228857,0.783108810984027,0
