rep,id,eta_phiS,eta_deltaS,eta_phiL,eta_deltaL,eta_deltaA,GROUP
2,9,0.207662530281201,0.202842113082869,-0.0727456769685267,1.25299013554974,-0.319011546426608,0
3,9,0.0204395942149616,0.66615313244213,0.0154620375246996,0.500251733770019,-0.486490695506774,0
1,10,0.0416794709869932,-0.567555913772484,-0.0589927111969742,-0.0585407069096807,0.265917189527199,0
2,10,-0.552704320564458,-0.309889879951777,-0.0451487732615686,-0.0335300335020914,-0.00207885080972415,0
3,10,-0.172211371305263,-0.625495715915524,-0.0731692801099683,1.38951076196835,0.222966934758851,0
1,11,0.0478183750517445,1.62847474283771,-0.0336080845714733,1.44818540202642,-0.0219516813729992,0
2,11,-0.10629934000943,1.19674845887542,-0.0914357533772464,-0.928243166329712,-0.025132834946948,0
3,11,-0.141791581262763,0.822456064717817,-0.0133709653232074,0.305864569492277,0.0869647043716578,0
1,12,0.0747508873613442,-0.440973704905523,0.00638584705446172,-1.89985477739033,-0.282123899553035,0
2,12,-0.00780223887724111,-0.231311748290203,0.130968428763217,3.85155122064404,-0.287894214808786,0
3,12,-0.142330407867757,-0.326018465938935,-0.0141644276698354,0.0662904309446904,-0.302216045742189,0
1,13,0.130964909749186,-0.103545955349402,-0.0492265635268322,-3.65175910057026,0.0476009904532481,0
2,13,0.176538369876494,0.162126631535655,-0.0378816393206361,2.05605367001041,-0.0408482696621897,0
3,13,0.211578224016768,-0.0624498395946578,-0.0236887334442276,1.74271893395435,0.0690083153685703,0
1,14,0.0313071921755574,0.467384301902079,0.0120306305353364,-1.20251925341807,0.0529505831394463,0
2,14,-0.327698705117978,-0.00876731754016451,-0.132309343022093,1.54523358870771,-0.00168707499010417,0
3,14,0.180444060410556,0.544792231590225,0.102545360115149,-0.271700310556085,0.1152728726334,0
1,15,-0.103684865529708,0.145596268946619,-0.00515018964894646,0.0556503109491116,0.306366592930777,0
2,15,0.263862733478321,0.188911303010212,-0.0455949612346296,-0.59823960947389,0.389247440470327,0
3,15,0.0177373432819103,0.358961518041277,-0.016268627313943,0.867011649060212,0.229904768230285,0
1,16,-0.0532079316358383,-0.0959029110748332,-0.0285187643138348,1.0570481469867,-0.119905222723383,0
2,16,0.0126305483639618,0.512779260516234,0.0399879052716134,-0.228610689474453,-0.181225531603978,0
3,16,-0.0679679056437228,0.339804956969213,0.0183794087840086,-1.51795151263807,-0.226896205909048,0
1,17,0.184820134769657,-0.292927401121637,0.112669513655494,2.97734776713854,0.138320620532796,0
2,17,0.0927545940190778,0.118618335852458,0.00688903922340769,1.93264027460898,-0.0495243938015585,0
3,17,0.0996403257490459,0.0520464260040827,0.0234897726287717,0.421252325932454,-0.0174293482383137,0
1,18,0.180124848579948,0.0853372057824137,0.00687517070468075,-0.747849720837615,-0.140902013848201,0
2,18,0.221497807324694,0.10190336821045,-0.0930741269460624,-0.601423845285471,-0.178687739184241,0
3,18,0.040137439286473,0.269348130816359,-0.0416214065959465,-0.579078846519641,-0.288070950247591,0
1,19,0.0857027754044014,0.168933962786417,-0.0207120028258794,1.12539447648131,-0.163861934302769,0
2,19,0.144501139114893,0.571527717234803,0.0686406837282797,-2.4429553528986,-0.243961178197559,0
3,19,0.0928091242367687,-0.0662197793359328,0.0792177851809978,0.10849270040069,-0.0430346228142586,0
1,20,0.248115063438557,0.282299170855322,-0.0199269117700223,-1.31528280447141,0.113360219577904,0
2,20,0.0554253627371809,0.107227801220829,0.0713583643280237,1.25774242995973,0.136225031255854,0
3,20,0.305820071772378,0.268659921100726,0.0824619946079109,0.32862028724127,0.185172295641053,0
1,21,0.242731782845859,-0.48468326274375,0.0287937379577349,-3.0457908771609,-0.191769621462335,0
2,21,0.07382865766504,-0.157690086754776,0.0526143176054286,-1.02290536222648,-0.406853574128943,0
3,21,-0.164595265819824,-0.479032710907443,-0.0191509424060758,-1.2729614133785,-0.444580447005507,0
