rep,id,phiS,deltaS,phiL,deltaL,deltaA,GROUP
3,8,0.907570148524712,0.11013463992568,0.62252587996518,0.000616459742363929,0.971759019031313,0
1,9,1.16609967294417,0.0695138337689672,0.572212515363974,0.000785941268017642,0.605852018295235,0
2,9,1.14383357987686,0.0676094660106924,0.591441799766414,0.000578176081777883,0.624285437694403,0
3,9,1.11029885063039,0.12239192794627,0.60723571038714,0.00102081037859877,0.541136519919144,0
1,10,1.03210756381473,0.0322147231161664,0.542183965775164,0.000548990163142497,1.1033836668811,0
2,10,0.760496466029324,0.0564331581198467,0.581553393501277,0.000984860266924332,0.884979313097732,0
3,10,1.00160002122244,0.028368127527236,0.569085410381244,0.001612256022313,1.15132318101535,0
1,11,1.07128991187953,0.260528718591274,0.56466695828657,0.00104189993090363,0.865261677219102,0
2,11,1.15265693671494,0.200839034913439,0.563330255717445,0.000623480513562487,0.893960887820964,0
3,11,0.877503784326735,0.182637792671853,0.597985794202175,0.000843352438116137,0.913589823931807,0
1,12,1.03574319183866,0.0461888018814244,0.595639049611423,0.000548389466920479,0.624336418266296,0
2,12,1.16267743691984,0.052154370954991,0.720642274747802,0.00194230922966736,0.700059637792155,0
3,12,0.914045998822046,0.0483555131427747,0.573433461191731,0.00101593492973296,0.60293311307474,0
1,13,1.03592758293569,0.0516069333461188,0.615814875492031,0.000539037328887503,0.934648762282359,0
2,13,1.23492596798313,0.0677242777755094,0.615032395063435,0.00196880400145271,0.885559541160544,0
3,13,1.20282277433358,0.0622985280387474,0.565111599133078,0.000999342260333757,0.872692054632493,0
1,14,0.983210173277532,0.0972285139296693,0.547570596376829,0.000522594909772099,0.843008596827184,0
2,14,0.898675425562343,0.0753063284327908,0.545654854836805,0.000474135440407752,0.859147606870809,0
3,14,0.970882234357509,0.0844310766548094,0.617749346966382,0.00152488326243611,0.853536175971123,0
1,15,1.11528020564691,0.121831961674699,0.617421797692621,0.000938079064792798,1.1215898026524,0
2,15,1.20378459127983,0.100160703795017,0.624144596492627,0.000382717287806899,1.20570988697976,0
3,15,1.08935469439362,0.0696130923842144,0.642078795533523,0.00077072207946569,1.27624030386604,0
1,16,1.11654051331168,0.0679619725010403,0.674637537618942,0.00050045947779662,0.849493518324529,0
2,16,1.10057016582602,0.122610951984549,0.604233424718869,0.000738009154279766,0.679953519708974,0
3,16,1.05769632986095,0.104731224579452,0.646279585324124,0.000819466080879725,0.696907298733807,0
1,17,1.34504834198837,0.0472732559669158,0.6980683010553,0.00152506655714356,1.04541650032014,0
2,17,1.23799309437379,0.0860785998922191,0.58783273423117,0.000871237645419431,0.762424469766936,0
3,17,1.19349243662951,0.0871614230497602,0.629143110824873,0.000843013519308737,0.78107012488116,0
1,18,1.26550993554877,0.0666677082378443,0.52774724286535,0.000456526019189939,0.709965452904098,0
2,18,1.56360921459476,0.0692055006053775,0.601053866228759,0.000690301975286284,0.833716798839471,0
3,18,1.20995597615523,0.0820503957417767,0.6098759522381,0.000754970491516738,0.69680571482463,0
1,19,1.08073652221157,0.0876196500367367,0.582952817510499,0.00145619417279881,0.682584889968444,0
2,19,1.02493278638113,0.120236319307368,0.59813439703581,0.00045995629481699,0.647843235774067,0
3,19,1.03336739879583,0.0757145128005809,0.649638121697265,0.000614812337213295,0.755669259648994,0
1,20,1.06500375955822,0.0852466432628404,0.570208498479346,0.00093554179937557,0.894221062394001,0
2,20,1.08152438233877,0.074532057533904,0.6839282459029,0.00117979872604235,0.996319050586602,0
3,20,1.42712425788493,0.109019208466679,0.659953365891501,0.00118759125721752,0.945294889844925,0
1,21,1.2795395939101,0.0471021090626868,0.607487223652581,0.000394025414814838,0.632922444604965,0
2,21,1.11417494090625,0.0410316484936388,0.614553124835113,0.000813508647182976,0.609177730477417,0
3,21,0.907778943130266,0.0463048174411073,0.656545978593008,0.000636980080384419,0.564016651977167,0
1,22,0.933751619395638,0.0606187537355611,0.588253768062748,0.000624071715068981,1.10599418657165,0
2,22,1.03157165522609,0.122402900957384,0.59688406700577,0.000606223451778555,0.932002187631315,0
3,22,1.0079125249848,0.124366074600281,0.709573397751222,0.000481169497150335,1.06367047534021,0
1,23,0.780949078057973,0.138135526402326,0.624868299904864,0.000757574793287342,0.74663623232238,0
2,23,1.07069605770459,0.175851462567869,0.632737833652586,0.000530863160468034,0.693401736290529,0
3,23,0.936665491297406,0.162480492109444,0.569991307343886,0.000885417703377824,0.678896958305515,0
1,24,1.01608780890554,0.166059447281684,0.565958908554592,0.000411143091455008,0.789584505345625,0
2,24,0.946396465730961,0.111295942239577,0.609656878763139,0.000889680476705515,0.907245274966692,0
3,24,0.899585667506277,0.092773885662834,0.636642654988091,0.000199679012682367,1.01962437911051,0
1,25,0.982604517700452,0.0797589121541906,0.637484767273862,0.000962359274936893,0.838320909107788,0
2,25,1.15506965399008,0.0836116918880856,0.577896306930148,0.00115858366087452,0.766344007886072,0
3,25,0.926642848911549,0.1210200708283,0.60561615948619,0.00142771125057267,0.709027813313327,0
