id,eta_phiS_SAEM,eta_deltaS_SAEM,eta_phiL_SAEM,eta_deltaL_SAEM,eta_deltaA_SAEM,eta_phiS_mean,eta_deltaS_mean,eta_phiL_mean,eta_deltaL_mean,eta_deltaA_mean,eta_phiS_mode,eta_deltaS_mode,eta_phiL_mode,eta_deltaL_mode,eta_deltaA_mode,eta_phiS_sd,eta_deltaS_sd,eta_phiL_sd,eta_deltaL_sd,eta_deltaA_sd,GROUP
107,-0.0149407,-0.422811,0.0284415,-0.0758602,0.0971089,-0.0985182,-0.448878,-0.0184539,-0.0500314,0.0338851,-0.0327346,-0.413463,0.00321336,-0.0350536,0.0696184,0.105093,0.135064,0.076922,0.374193,0.0715841,1
108,-0.0611755,0.432416,-0.0220581,-0.0393729,0.23986,-0.102746,0.453159,-0.0476828,0.0116077,0.191765,-0.0621122,0.436484,-0.0129959,0.012189,0.235958,0.109374,0.145152,0.072506,0.334438,0.0799564,1
109,0.18573,0.383072,-0.0434302,0.108018,-0.503838,0.191795,0.393712,-0.0424772,0.0584622,-0.506738,0.196506,0.366028,-0.031477,0.246422,-0.489231,0.101709,0.106583,0.0833609,0.395078,0.0744723,1
110,0.00860469,0.31772,-0.012654,-0.00339146,0.0113461,-0.0340318,0.313955,-0.0309927,0.0978707,-0.0207733,0.00722011,0.340615,-0.0102926,0.0373034,-0.00457853,0.108445,0.146013,0.0880152,0.348513,0.0769487,1
111,0.0929192,0.70951,-0.0102704,0.082058,-0.187333,0.0147261,0.664269,-0.0377798,0.194045,-0.209951,0.0622714,0.709417,-0.0265392,0.0907078,-0.206192,0.113921,0.155582,0.0727359,0.37477,0.0811316,1
112,-0.0498169,-0.355648,0.00821075,-0.078134,0.0715337,-0.0503002,-0.392043,0.00634779,0.000826436,0.0804497,-0.0353484,-0.386769,0.00261615,-0.0332373,0.0914917,0.0994638,0.136646,0.0763238,0.299668,0.0751249,1
113,0.0964623,0.216046,0.00671206,0.227689,-0.194912,0.138824,0.211963,-0.0227337,-0.00281911,-0.177194,0.10489,0.234934,-0.0154578,0.124441,-0.203964,0.101426,0.118565,0.0715106,0.483426,0.0783261,1
114,-0.050747,0.0261544,0.0172585,-0.0337418,0.114374,-0.0408599,-0.0152583,-0.00399669,-0.100516,0.138184,-0.0645148,0.0331181,0.00103926,-0.0443956,0.100112,0.108931,0.113637,0.0748969,0.403518,0.0844788,1
115,0.0132583,-0.919225,0.0171217,-0.0341264,-0.153441,0.0706788,-0.931236,0.0198382,-0.00017009,-0.107467,0.0198835,-0.886537,0.0113498,-0.0571486,-0.150529,0.113284,0.188926,0.0722806,0.401263,0.0893273,1
116,0.0769931,0.278539,-0.0118158,0.0176828,-0.330922,0.129013,0.289494,0.0311052,0.0639474,-0.294096,0.0911135,0.26283,-0.00822304,0.0743045,-0.313012,0.135889,0.111174,0.090347,0.39271,0.0973786,1
