rep,id,eta_phiS,eta_deltaS,eta_phiL,eta_deltaL,eta_deltaA,GROUP
2,11,0.0793095080028916,0.981837804238537,-0.0659630119009338,-0.261561528684056,0.0258096466345845,0
3,11,-0.193434160329158,0.886838954805294,-0.00626206975784252,0.040505906681719,0.0475293224703994,0
1,12,-0.0276409205175219,-0.48792857647656,-0.0101942057662955,-0.389893299432465,-0.33316302301382,0
2,12,0.0879653314407394,-0.36645796867861,0.180313794720796,0.874753828745771,-0.218686849680611,0
3,12,-0.152634531156366,-0.442085720563084,-0.048187160406748,0.226685540541207,-0.368046110957009,0
1,13,-0.0274629085478998,-0.377009931031764,0.0231173236560911,-0.407094215675901,0.0703184254586633,0
2,13,0.148250874029435,-0.105221237826535,0.0218458734075874,0.888302491499287,0.0163673171801813,0
3,13,0.121910957083159,-0.188728163137781,-0.0628058356802136,0.210218282902468,0.00173037183546862,0
1,14,-0.0796925229756826,0.25639805996699,-0.0943376713793229,-0.438072427167536,-0.0328752220940338,0
2,14,-0.169593498420715,0.000898212540917889,-0.0978424260461058,-0.535386019871545,-0.0139116350134653,0
3,14,-0.092310250191969,0.115269578975289,0.0262537198402717,0.632794096881454,-0.020464451166894,0
1,15,0.0463455295522586,0.481976770308672,0.025723349157868,0.146955196270036,0.252650046511716,0
2,15,0.12271027068221,0.286109972368868,0.0365529987621931,-0.749582475335643,0.324971412347595,0
3,15,0.0228253481330547,-0.0777133030469712,0.064881962723045,-0.0495511990476083,0.381821394146558,0
1,16,0.0474749283324008,-0.101717640841699,0.114346497429615,-0.481352407973551,-0.0252120668468105,0
2,16,0.0330682287847097,0.488350388878877,0.00413152013133187,-0.0929228113111271,-0.247827935476107,0
3,16,-0.00666687987936461,0.330731340779486,0.0714031368618622,0.01177396730086,-0.223199976407629,0
1,17,0.233669805105888,-0.464721239035579,0.148487882578334,0.632914292109909,0.182318271951765,0
2,17,0.150731446895798,0.134594869422904,-0.023386626074182,0.0730357416730621,-0.133348930409076,0
3,17,0.114123680340973,0.147095875144841,0.0445296840940884,0.0401039550051327,-0.109187443551742,0
1,18,0.172715002756975,-0.120945260340124,-0.13121160551633,-0.57323334446684,-0.20463606697093,0
2,18,0.384236598810333,-0.0835856136840748,-0.00114450972417689,-0.159749892812839,-0.0439586029858631,0
3,18,0.127823826303174,0.0866676790370642,0.0134265115892507,-0.0702003756063613,-0.22334575090836,0
1,19,0.0148826244135669,0.152339326609582,-0.0317228153498322,0.586702540295868,-0.24396547771031,0
2,19,-0.0381331131228279,0.468793172094351,-0.00601359500507398,-0.565747566305922,-0.296203630957769,0
3,19,-0.0299373604445853,0.0063038950736421,0.0765864040928235,-0.275561961509404,-0.142248584723615,0
1,20,0.000218179955967221,0.124882778506785,-0.0538269871607688,0.144246786028928,0.0261006400369522,0
2,20,0.0156113617832414,-0.00943662636520234,0.128023940557496,0.376220091752448,0.134215160262638,0
3,20,0.292901261706361,0.370858129502718,0.0923401068723952,0.382803341131504,0.0816445536204574,0
1,21,0.183740171668213,-0.468348183244827,0.00950207605743944,-0.720463628184005,-0.319504483674268,0
2,21,0.0453540183905145,-0.60632227825512,0.0210663094897673,0.00447751619895886,-0.357742312943582,0
3,21,-0.159514534023903,-0.485419957582095,0.0871636593164588,-0.240140655906651,-0.434768602096484,0
1,22,-0.131304957544898,-0.216061648882098,-0.0226706347780609,-0.260613750246919,0.238647547863231,0
2,22,-0.0316766311692397,0.486652108763924,-0.00810616599692675,-0.289630389595685,0.0674827839858305,0
3,22,-0.0548787641863405,0.50256346923028,0.164834873304455,-0.520659447047088,0.199628540364993,0
1,23,-0.310005481519026,0.607569316950184,0.0377118394680234,-0.0667567704854556,-0.15427428287318,0
2,23,0.00554880889504353,0.848973714352911,0.0502271035968418,-0.422374753543402,-0.228242840668703,0
3,23,-0.128189209466672,0.769891984340454,-0.0542079574731244,0.0891804748699143,-0.249383016971056,0
1,24,-0.0468003777908999,0.791679878737314,-0.0613075920707247,-0.677937731711491,-0.0983455134366365,0
2,24,-0.117853850060476,0.391526838085785,0.0130672371658837,0.0939833433194746,0.0405604600557052,0
3,24,-0.168581140398643,0.209499234029488,0.0563794490714081,-1.40016789933832,0.157337204740593,0
1,25,-0.0803087108585213,0.0583425249053161,0.0577013143631805,0.172508807606962,-0.0384514043347512,0
2,25,0.081400499339509,0.105517403766813,-0.0404346151080676,0.358074516082059,-0.128221212556933,0
3,25,-0.13894721321012,0.47529044478945,0.00641731728731372,0.566948876964127,-0.205957623245453,0
1,26,-0.0876458632245441,-0.760077753839414,0.061093587738669,-0.164250957247264,-0.205784257590848,0
2,26,-0.0967765623773466,-0.97117521350529,-0.0210626696111173,0.198696888130938,-0.207532186354261,0
3,26,-0.0144231445250062,-0.966297219571334,0.0500786710247324,0.51942948068399,-0.133930092537966,0
1,27,-0.078277196022878,0.181040542065448,-0.0779433633225288,0.326272866245019,-0.114080525993718,0
