rep,id,phiS,deltaS,phiL,deltaL,deltaA,eta_phiS,eta_deltaS,eta_phiL,eta_deltaL,eta_deltaA
1,64,0.106283838390338,-2.04933733762826,-0.355117300442001,-8.4420001087312,-0.302573491945272,0.0435236890895357,0.53775197968821,0.152808910628586,-1.32336859077472,-0.164670590904041
1,65,-0.0893114287096536,-3.27902159766465,-0.601329027307168,-6.40718843914498,-0.220293403159454,-0.152071578010456,-0.691932280348178,-0.093402816236581,0.711443078811497,-0.0823905021182226
1,66,-0.1862095690423,-2.70849654036973,-0.535085934374241,-7.08854436888496,-0.426497103971497,-0.248969718343102,-0.121407223053258,-0.0271597233036535,0.0300871490715151,-0.288594202930266
1,67,-0.0591277880839889,-2.99273303794248,-0.472320277932341,-7.0284031806005,-0.102111728994702,-0.121887937384791,-0.405643720626014,0.0356059331382462,0.0902283373559847,0.0357911720465296
1,68,0.00194453577944736,-3.09288939502398,-0.476217617978445,-6.69516356270782,-0.120464560719958,-0.0608156135213547,-0.505800077707509,0.0317085930921423,0.423467955248658,0.0174383403212734
1,69,-0.0790286470202362,-1.87881792166297,-0.513642238790802,-7.2220961682106,-0.341834826545165,-0.141788796321038,0.708271395653496,-0.00571602772021462,-0.103464650254122,-0.203931925503934
1,70,0.0565489756291145,-1.82465839411076,-0.460190755017076,-6.89873243233439,-0.0992344933241484,-0.0062111736716875,0.762430923205706,0.047735456053511,0.219899085622091,0.0386684077170827
1,71,0.104399247359715,-3.1296405344663,-0.532594110841747,-7.315604286542,-0.436922950311484,0.0416390980589128,-0.542551217149831,-0.0246678997711604,-0.196972768585522,-0.299020049270253
1,72,-0.0867959044483068,-2.10140950866474,-0.572130043899378,-7.24753552190923,-0.109305091727732,-0.149556053749109,0.485679808651724,-0.0642038328287914,-0.128904003952751,0.0285978093134993
1,73,-0.0178552274801901,-2.76365451562053,-0.623748021358945,-6.87753964555717,-0.305479046146879,-0.0806153767809921,-0.176565198304058,-0.115821810288358,0.241091872399308,-0.167576145105648
1,74,0.0984030073740125,-2.40815463806164,-0.464777042261991,-7.55439265584578,-0.0212599892671146,0.0356428580732105,0.178934679254828,0.0431491688085959,-0.435761137889305,0.116642911774117
1,75,0.0594848357526485,-3.06757657047467,-0.445294782410783,-7.23729256153413,-0.506583132131266,-0.00327531354815355,-0.480487253158199,0.0626314286598041,-0.118661043577655,-0.368680231090035
1,76,-0.101308250877907,-2.76654728497372,-0.40306526578491,-7.08887446827077,-0.353251887049175,-0.164068400178709,-0.179457967657251,0.104860945285677,0.0297570496857089,-0.215348986007944
1,77,-0.0297336934415297,-2.76937067825762,-0.466792322825289,-6.8671517476349,-0.203195403394988,-0.0924938427423317,-0.182281360941148,0.0411338882452983,0.251479770321575,-0.0652925023537565
1,78,0.192690740320476,-2.28152808109366,-0.560549943151298,-6.63730882095784,-0.129962217617168,0.129930591019674,0.305561236222806,-0.0526237320807112,0.481322696998638,0.00794068342406268
1,79,0.0984395490953649,-2.62474540150054,-0.441192175133136,-7.18373095826492,-0.152591426906704,0.0356793997945628,-0.0376560841840763,0.0667340359374511,-0.0650994403084422,-0.0146885258654731
1,80,0.311696793389336,-2.27413691537261,-0.506698699944789,-6.91310636542096,-0.153114488746174,0.248936644088534,0.312952401943854,0.00122751112579822,0.205525152535523,-0.0152115877049434
1,81,0.23556002033159,-2.13290675158401,-0.432093374765461,-6.85584122344383,-0.377124712555544,0.172799871030788,0.454182565732461,0.0758328363051263,0.262790294512648,-0.239221811514312
1,82,0.125575053874656,-2.11966635261871,-0.32185788379251,-6.79731800275882,-0.459246136106614,0.0628149045738544,0.467422964697757,0.186068327278077,0.321313515197657,-0.321343235065383
1,83,0.059504988023944,-1.97264530703258,-0.555506343566063,-7.20454610031888,-0.298295088958014,-0.00325516127685808,0.614444010283885,-0.0475801324954757,-0.0859145823624008,-0.160392187916783
1,84,0.0959035369671095,-2.27964526377148,-0.588379230522501,-7.56979039779911,0.0498369742644026,0.0331433876663075,0.307444053544985,-0.0804530194519142,-0.451158879842635,0.187739875305634
1,85,0.0396903490225628,-2.72271055400836,-0.635211291247697,-7.16153029607264,0.0415265209831686,-0.0230698002782392,-0.135621236691887,-0.12728508017711,-0.0428987781161627,0.1794294220244
1,86,0.215828686803399,-3.0046866693808,-0.70788097527174,-6.81708356033437,-0.0790887156742419,0.153068537502597,-0.417597352064336,-0.199954764201153,0.301547957622112,0.0588141853669892
1,87,0.128953401957977,-2.14156913416688,-0.55811520542904,-7.67102421771755,-0.00686521905226531,0.066193252657175,0.445520183149584,-0.050188994358453,-0.552392699761068,0.131037681988966
1,88,0.254473530687195,-3.21813934340617,-0.492824762976244,-7.33601981843782,-0.562905211478119,0.191713381386393,-0.631050026089698,0.0151014480943433,-0.21738830048134,-0.425002310436888
1,89,0.0288173871834258,-2.3575717812131,-0.693898422585023,-6.2786409884077,-0.44217570490692,-0.0339427621173762,0.229517536103367,-0.185972211514436,0.839990529548781,-0.304272803865689
1,90,0.0689198679141819,-2.88845467476008,-0.494915707529687,-7.30773954743764,-0.513792069481442,0.00615971861337981,-0.301365357443613,0.0130105035408998,-0.189108029481162,-0.375889168440211
1,91,-0.1205116362894,-2.81841442379552,-0.483468362712401,-7.37231830910001,0.0107888844287556,-0.183271785590202,-0.231325106479055,0.0244578483581857,-0.253686791143532,0.148691785469987
1,92,0.136270939957025,-2.08461129216362,-0.436439776308738,-6.61698484801295,-0.193029865034564,0.0735107906562226,0.502478025152852,0.0714864347618496,0.501646669943534,-0.0551269639933328
1,93,0.0921114172235148,-2.7488540928902,-0.507955078576311,-7.14996749207666,-0.0299084905374359,0.0293512679227128,-0.161764775573731,-2.88675057235066e-5,-0.0313359741201786,0.107994410503795
1,94,0.178289166283928,-2.7432257563986,-0.559935594724665,-7.5064556240158,0.295024445374517,0.115529016983126,-0.156136439082135,-0.052009383654078,-0.387824106059318,0.432927346415749
1,95,-0.0596015280115505,-2.88687668719375,-0.399267086929632,-6.92349655855979,-0.220606029719742,-0.122361677312353,-0.299787369877278,0.108659124140955,0.195134959396692,-0.0827031286785107
1,96,0.0650051840757337,-1.78923356798048,-0.530702389380625,-7.54363634008726,0.0453705289934987,0.00224503477493165,0.797855749335992,-0.0227761783100374,-0.425004822130784,0.18327343003473
1,97,0.16072509943828,-1.73077828639598,-0.594710565098351,-7.0020653953607,0.0831637599915624,0.097964950137478,0.856311030920492,-0.0867843540277642,0.116566122595782,0.221066661032793
1,98,0.127825470766274,-1.83866107123096,-0.503321184823759,-7.23823666701127,0.31868487209517,0.0650653214654717,0.748428246085509,0.00460502624682813,-0.119605149054793,0.456587773136401
1,99,0.31048170722657,-2.72441875734909,-0.696532566485995,-6.72726140834566,-0.196016896676172,0.247721557925768,-0.137329440032624,-0.188606355415408,0.391370109610825,-0.0581139956349405
1,100,0.076344288755964,-2.30394301700628,-0.428373057272779,-7.24955855604826,0.00257339021874527,0.013584139455162,0.283146300310193,0.0795531537978083,-0.13092703809178,0.140476291259976
1,101,0.041264873111055,-2.56762142085365,-1.34493086133254,-5.82161589070115,-0.0109318084610496,-0.021495276189747,0.404200512092806,-0.123248483696852,-0.240736200130896,0.126971092580181
1,102,0.0856540176379656,-3.20596975146401,-1.22281837930412,-5.58032543278305,0.0878418342157287,0.0228938683371636,-0.234147818517555,-0.00113600166842898,0.0005542577871962,0.22574473525696
1,103,0.0225226276191623,-2.96992701658392,-1.26627517833508,-5.8285693355244,-0.239660698207143,-0.0402375216816397,0.00189491636253836,-0.0445928006993892,-0.247689644954154,-0.101757797165912
1,104,-0.127307119059489,-3.02371696481095,-1.24333986013161,-5.48322856922359,-0.0412196343672668,-0.190067268360291,-0.0518950318644871,-0.0216574824959186,0.0976511213466633,0.0966832666739642
1,105,0.0214284811187573,-3.79559371943127,-1.22244116634596,-5.7723158884991,-0.0143199872319891,-0.0413316681820447,-0.823771786484813,-0.00075878871027335,-0.191436197928853,0.123582913809242
1,106,0.00990363683640322,-2.47066058820132,-1.11075119327869,-5.92881629433891,-0.180147834788274,-0.0528565124643988,0.501161344745137,0.110931184357,-0.347936603768659,-0.042244933747043
1,107,0.0491915494374068,-3.31900114529023,-1.29470601982437,-5.73936696327462,-0.0996194568740886,-0.0135685998633952,-0.347179212343767,-0.0730236421886785,-0.158487272704373,0.0382834441671425
1,108,-0.0230270984079283,-2.16854792586324,-1.20594596578224,-5.57031116088018,-0.0786068782723522,-0.0857872477087303,0.803274007083223,0.0157364118534513,0.0105685296900671,0.0592960227688789
